Serving HTTP on 0.0.0.0 port 5000 (http://0.0.0.0:5000/) ...
127.0.0.1 - - [05/May/2026 16:41:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:41:29] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:41:29] "GET /js/config.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:41:29] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:41:29] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:41:30] "GET /setting.json HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:42:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:42:52] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:42:52] "GET /js/export.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:42:52] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:42:52] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:42:52] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:42:52] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:14] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:14] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:14] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:14] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:14] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:19] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:27] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:27] "GET /js/map.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:33] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:36] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:45] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:45] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:45] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:45] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:45] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:44:53] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:44:53] "GET /js/export.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:45:48] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:45:48] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:45:48] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:45:48] "GET /js/map.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:45:48] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:45:48] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:45:51] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:46:25] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:46:25] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:46:25] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:46:25] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:46:25] "GET /js/export.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:46:25] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 16:46:27] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:40] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:48] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:48] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:48] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:48] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:48] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:48] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:49] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 16:54:49] "GET /js/guests.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:39] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:39] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:39] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:16:40] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:40] "GET /setting.json HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:44] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:44] "GET /js/guests.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:44] "GET /js/export.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:51] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:52] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:16:59] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:17:00] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:17:03] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:17:04] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:18:59] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:18:59] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:26:43] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:26:43] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:26:43] "GET /css/style.css HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:26:43] "GET /js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:26:43] "GET /js/map.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:26:43] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:26:53] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:26:53] "GET /js/guests.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:26:53] "GET /js/export.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:27:05] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:27:24] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:27:25] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:27:26] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:27:26] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:28:14] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:28:16] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:28:17] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:28:17] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:28:19] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:30:44] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:30:44] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:30:44] "GET /route.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:30:44] "GET /timeline.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:30:44] "GET /guests.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:30:44] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:31:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:31:50] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:31:50] "GET /css/style.css HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:31:50] "GET /js/app.js HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:31:50] "GET /js/config.js HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:31:51] "GET /setting.json HTTP/1.1" 304 -
127.0.0.1 - - [05/May/2026 17:31:57] "GET /invitation.html HTTP/1.1" 200 -
127.0.0.1 - - [05/May/2026 17:31:57] "GET /js/export.js HTTP/1.1" 304 -
